x,y,z,longitude,latitude,speed,sound,timestamp,type,
-0.0172882,10.0205,-10.9442,87.2923,23.5453,2.17,76.5135,1.5015e+12,pot holes,
-2.02771,11.1016,-6.65582,87.2923,23.5453,2.17,76.5135,1.5015e+12,pot holes,
1.76886,5.82991,0.00759888,87.2923,23.5453,2.17,76.5135,1.5015e+12,smooth road,
1.2789,10.3918,-8.98096,87.2923,23.5453,2.17,76.5135,1.5015e+12,pot holes,
-4.04646,9.92433,-6.98766,87.2923,23.5453,2.17,76.5135,1.5015e+12,pot holes,
-2.35297,12.4294,5.2198,87.2923,23.5453,2.17,76.5135,1.5015e+12,pot holes,
2.59169,11.4486,1.19762,87.2923,23.5453,2.17,76.5135,1.5015e+12,smooth road,
0.543228,7.99989,-0.82196,87.2923,23.5453,2.17,76.5135,1.5015e+12,smooth road,
2.7787,9.03928,-1.8157,87.2923,23.5453,2.17,76.5135,1.5015e+12,smooth road,
0.0738068,6.06175,-7.07224,87.2923,23.5453,2.17,76.5135,1.5015e+12,pot holes,
-4.37132,8.84944,-1.56895,87.2923,23.5453,2.17,76.3459,1.5015e+12,smooth road,
-1.92241,9.74327,-9.38634,87.2923,23.5453,2.17,76.3459,1.5015e+12,pot holes,
2.76633,10.5415,-4.56694,87.2923,23.5453,2.17,76.3459,1.5015e+12,smooth road,
-1.08142,10.5518,-6.70769,87.2923,23.5453,2.17,76.3459,1.5015e+12,pot holes,
1.75813,8.03635,-2.61111,87.2923,23.5453,2.17,76.3459,1.5015e+12,smooth road,
0.0818176,8.57118,16.963,87.2923,23.5453,2.17,76.3459,1.5015e+12,bumpers,
-1.56938,11.2039,2.98717,87.2923,23.5453,2.17,76.3459,1.5015e+12,smooth road,
0.227585,6.3884,7.52148,87.2923,23.5453,2.17,76.3459,1.5015e+12,pot holes,
5.10222,9.74335,-7.4373,87.2922,23.5453,2.51,76.3459,1.5015e+12,pot holes,
-4.01247,7.43985,4.9444,87.2922,23.5453,2.51,76.3459,1.5015e+12,smooth road,
3.16751,13.9209,-3.19534,87.2922,23.5453,2.51,76.3459,1.5015e+12,smooth road,
-3.27069,3.83215,-8.09526,87.2922,23.5453,2.51,76.3459,1.5015e+12,pot holes,
-3.34872,11.179,11.8135,87.2922,23.5453,2.51,77.8304,1.5015e+12,pot holes,
3.62669,10.2902,-7.70323,87.2922,23.5453,2.51,77.8304,1.5015e+12,pot holes,
1.47871,4.15633,6.3239,87.2922,23.5453,2.51,77.8304,1.5015e+12,pot holes,
-0.482773,11.1796,8.67021,87.2922,23.5453,2.51,77.8304,1.5015e+12,pot holes,
4.52812,15.2377,1.75696,87.2922,23.5453,2.51,77.8304,1.5015e+12,smooth road,
-1.77618,3.12216,19.1376,87.2922,23.5453,2.51,77.8304,1.5015e+12,bumpers,
-0.396515,13.1893,3.14371,87.2922,23.5453,2.51,77.8304,1.5015e+12,smooth road,
2.42833,5.78011,4.55614,87.2922,23.5453,2.51,77.8304,1.5015e+12,smooth road,
3.03456,13.8743,-4.13623,87.2922,23.5453,2.51,77.8304,1.5015e+12,smooth road,
-1.41446,9.74959,5.50145,87.2922,23.5453,2.51,77.8304,1.5015e+12,pot holes,
2.65329,5.25154,20.7381,87.2922,23.5453,2.51,77.8304,1.5015e+12,bumpers,
3.15218,11.5168,-8.36453,87.2922,23.5453,2.51,77.8304,1.5015e+12,pot holes,
-0.6026,6.1866,14.3277,87.2922,23.5453,2.51,80.7327,1.5015e+12,bumpers,
